Date,Open,High,Low,Close,Adj Close,Volume,Name
11 August 2020,369.100006,374.149994,364.5,367.399994,364.143097,2684989,ICICBANK
12 August 2020,365,368.75,363.549988,366.799988,363.548401,2853967,ICICBANK
13 August 2020,367.75,372.149994,366.149994,367.899994,364.638641,891195,ICICBANK
14 August 2020,371.399994,371.75,354.399994,361.450012,358.245819,1864622,ICICBANK
17 August 2020,366.100006,367.149994,354.450012,360.25,357.056458,1316144,ICICBANK
18 August 2020,361.100006,369.950012,361.100006,369.399994,366.125366,1903781,ICICBANK
19 August 2020,373.700012,375.700012,370.399994,374.350006,371.031494,1120174,ICICBANK
20 August 2020,366.299988,369.649994,362.549988,367.899994,364.638641,1453519,ICICBANK
21 August 2020,369.549988,373,367.100006,371.149994,367.859833,1700101,ICICBANK
24 August 2020,373,381.049988,373,380.200012,376.82962,11867264,ICICBANK
25 August 2020,382,389.899994,381.799988,386.200012,382.776459,1634892,ICICBANK
26 August 2020,387,391.5,384.200012,389.350006,385.898499,1732119,ICICBANK
27 August 2020,391,397.399994,388.200012,392.450012,388.971008,1131048,ICICBANK
28 August 2020,394,411.649994,393.25,409.75,406.117676,3676950,ICICBANK
31 August 2020,415,422.049988,387.25,395,391.498413,3127041,ICICBANK
01 September 2020,394.149994,399.600006,385.25,391.100006,387.632996,1984081,ICICBANK
02 September 2020,386,393.799988,381.149994,392.25,388.772827,1322386,ICICBANK
03 September 2020,392.799988,392.799988,381.299988,382.75,379.357025,563957,ICICBANK
04 September 2020,373.100006,379.299988,368.700012,372.799988,369.495178,1475108,ICICBANK
07 September 2020,373.299988,376.649994,369.100006,373.25,369.941254,1203729,ICICBANK
08 September 2020,371.549988,381.100006,369.799988,375.899994,372.567749,1430442,ICICBANK
09 September 2020,369.299988,372.350006,362.100006,367.75,364.48996,955546,ICICBANK
10 September 2020,372,375,365.549988,370.450012,367.166077,1498817,ICICBANK
11 September 2020,372.5,373.899994,365.100006,370.149994,366.868683,1133788,ICICBANK
14 September 2020,373,373.899994,359.600006,363.649994,360.426331,665867,ICICBANK
15 September 2020,363.649994,372,363.649994,371.450012,368.157196,768631,ICICBANK
16 September 2020,372.700012,376.75,365,374.75,371.427917,523366,ICICBANK
17 September 2020,369.5,371.5,367.399994,368.899994,365.629791,561654,ICICBANK
18 September 2020,370.850006,374.600006,364.799988,369.899994,366.620911,1395389,ICICBANK
21 September 2020,366.25,368.649994,349.25,350.850006,347.739807,1148246,ICICBANK
22 September 2020,353.25,356,349.399994,354.5,351.357452,1501006,ICICBANK
23 September 2020,356.649994,357.200012,342.450012,351.700012,348.582275,845708,ICICBANK
24 September 2020,345.549988,347.200012,334,335.799988,332.823212,587000,ICICBANK
25 September 2020,338.100006,350.399994,336.549988,348.5,345.410614,898056,ICICBANK
